Designator,Mid X,Mid Y,Rotation,Layer
D1,57.0,-77.5,180.0,top
D2,57.0,-81.0,180.0,top
D3,57.0,-84.5,180.0,top
D4,57.0,-87.89,180.0,top
J1,57.0,-107.5,0.0,top
J2,79.5,-109.5,0.0,top
J3,57.0,-56.49,180.0,top
J4,32.0,-109.5,0.0,top
J5,32.0,-54.5,180.0,top
J6,82.275,-53.5,180.0,top
R1,62.01,-77.5,0.0,top
R10,67.0,-63.9125,90.0,top
R11,40.0,-105.5875,270.0,top
R12,75.0,-57.0875,90.0,top
R2,62.0,-81.0,0.0,top
R3,62.0,-84.45,0.0,top
R4,62.0,-88.0,0.0,top
R5,81.9125,-101.0,180.0,top
R6,77.4125,-101.0,0.0,top
R7,41.0,-58.9125,90.0,top
R8,73.0,-105.0,270.0,top
R9,67.0,-102.5,270.0,top
